               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11253,            0.029609,            0.029562,                   0,                   0,                   0,                   0,            0.079802,             0.02167,            0.019354,              0.0973,              0.0003,              0.0003
                   1,             0.11332,            0.030439,            0.030425,                   0,                   0,                   0,                   0,            0.076301,            0.021027,            0.019179,            0.093677,           0.0006769,           0.0006769
                   2,            0.087601,            0.029563,             0.02226,           0.0024932,               0.375,            0.010145,           0.0029205,            0.067756,             0.01957,            0.018829,            0.090027,           0.0010274,           0.0010274
                   3,             0.10144,            0.030794,            0.028247,           0.0019665,               0.375,            0.047208,            0.018003,            0.059395,            0.018769,            0.018127,            0.086352,           0.0013515,           0.0013515
                   4,             0.07815,            0.027925,            0.021464,           0.0029025,               0.875,            0.026426,           0.0074861,            0.053285,            0.017334,            0.018552,            0.082649,           0.0016492,           0.0016492
                   5,            0.061445,            0.030213,            0.018584,           0.0033434,                   1,            0.043618,           0.0096299,            0.046905,            0.016756,            0.017837,            0.078921,           0.0019205,           0.0019205
                   6,            0.068087,            0.027344,            0.022989,           0.0033338,                   1,            0.039231,            0.012085,            0.048717,            0.015626,            0.018147,            0.075165,           0.0021654,           0.0021654
                   7,             0.07549,             0.03043,            0.020665,           0.0033348,                   1,            0.028127,           0.0094808,            0.045471,            0.014842,             0.01667,            0.071384,           0.0023839,           0.0023839
                   8,            0.069707,            0.029078,             0.02473,           0.0033398,                   1,             0.09264,            0.022153,            0.043975,            0.013086,            0.015979,            0.067576,            0.002576,            0.002576
                   9,            0.056788,            0.027749,            0.019785,           0.0033404,                   1,             0.14975,            0.023871,            0.041101,            0.012634,            0.016007,            0.063742,           0.0027417,           0.0027417
                  10,            0.069806,            0.028768,            0.022893,           0.0033394,                   1,             0.16684,             0.04185,            0.040613,            0.012014,            0.015656,            0.059881,            0.002881,            0.002881
                  11,            0.057366,            0.027814,            0.023144,           0.0033363,                   1,             0.16409,            0.047182,              0.0383,            0.011601,            0.015248,            0.055994,           0.0029939,           0.0029939
                  12,            0.059232,            0.025663,            0.019157,           0.0055616,                   1,             0.13597,            0.038671,            0.035677,            0.011344,            0.014934,             0.05208,           0.0030804,           0.0030804
                  13,            0.064976,             0.02769,            0.021121,            0.006491,                   1,             0.15003,            0.036977,            0.034134,            0.011359,            0.015308,            0.048141,           0.0031405,           0.0031405
                  14,            0.063221,            0.026234,             0.02339,            0.033747,               0.875,             0.18276,            0.043322,            0.035608,            0.011116,            0.014113,            0.044174,           0.0031742,           0.0031742
                  15,            0.062361,            0.027878,            0.020769,             0.20108,                 0.5,             0.21243,            0.054623,            0.036117,            0.011284,            0.013337,            0.040182,           0.0031815,           0.0031815
                  16,            0.068099,            0.027693,            0.019223,             0.21053,                 0.5,             0.25845,            0.066176,            0.036992,            0.011061,            0.013926,            0.036162,           0.0031624,           0.0031624
                  17,            0.060148,            0.026635,            0.020427,             0.27549,               0.375,             0.30072,            0.094132,            0.033156,             0.01086,            0.013843,            0.032117,           0.0031169,           0.0031169
                  18,            0.062949,            0.027651,            0.021328,             0.32692,              0.5165,             0.33015,              0.1126,            0.030488,             0.01075,            0.013794,            0.028045,            0.003045,            0.003045
                  19,             0.05193,            0.026408,            0.016118,             0.31406,             0.44712,             0.41885,             0.12285,            0.030436,            0.010618,            0.013959,            0.023947,           0.0029467,           0.0029467
                  20,            0.068326,            0.028821,            0.018662,             0.39832,              0.3801,             0.49081,              0.1197,            0.030723,            0.010341,            0.012456,            0.019822,            0.002822,            0.002822
                  21,            0.048544,            0.027164,            0.027073,             0.39254,             0.64032,             0.48717,             0.14404,            0.030256,            0.010201,            0.012332,            0.015671,           0.0026709,           0.0026709
                  22,            0.045752,            0.029303,            0.014036,             0.60948,             0.68677,             0.64561,              0.1798,             0.02904,              0.0102,            0.012109,            0.011493,           0.0024934,           0.0024934
                  23,              0.0497,             0.02631,            0.017393,             0.48337,             0.67696,             0.55693,             0.15812,             0.03041,           0.0099488,            0.011836,           0.0072895,           0.0022895,           0.0022895
                  24,             0.05706,            0.027651,            0.013137,             0.53461,             0.71978,             0.59399,             0.20062,            0.031506,            0.010091,            0.011274,           0.0030592,           0.0020592,           0.0020592
                  25,            0.062593,            0.024956,            0.020641,             0.50698,                0.75,             0.53393,              0.2012,            0.033207,           0.0097415,            0.010703,             0.00175,             0.00175,             0.00175
                  26,            0.057786,            0.025738,            0.020977,             0.56363,             0.74404,             0.66167,             0.19362,            0.033449,           0.0095857,            0.010026,             0.00175,             0.00175,             0.00175
                  27,            0.064673,            0.029202,            0.016931,             0.48134,                0.75,             0.53131,             0.20362,            0.032287,            0.009513,           0.0095006,             0.00142,             0.00142,             0.00142
                  28,            0.047381,             0.02753,            0.018153,              0.4792,                0.75,             0.55063,             0.19552,            0.031947,           0.0093396,           0.0090753,             0.00109,             0.00109,             0.00109
                  29,            0.046448,            0.027597,             0.01592,             0.40501,               0.625,             0.54109,             0.19933,            0.031187,           0.0092039,           0.0088713,             0.00076,             0.00076,             0.00076
